- Text database for game settings window.

schema: *key,text
enhancedCombatAI,                                   IA de combate mejorada
enhancedCombatAIInfo,                               Activa mejoras en la IA de combate
allowMagicRepairs,                                  Reparar objetos mágicos
allowMagicRepairsInfo,                              Permite reparar objetos mágicos

resolution,                                         Resolución
resolutionInfo,                                     Resolución de pantalla
fullscreen,                                         Pantalla completa
fullscreenInfo,                                     Activa el modo pantalla completa
exclusiveFullscreen,                                Pantalla completa exclusiva
exclusiveFullscreenInfo,                            Activa pantalla completa exclusiva
runInBackground,                                    Ejecutar en segundo plano
runInBackgroundInfo,                                El juego sigue funcionando al perder el foco
qualityLevel,                                       Nivel de calidad
qualityLevelInfo,                                   Calidad gráfica general
mainFilterMode,                                     Filtro principal
mainFilterModeInfo,                                 Filtro para texturas del juego
guiFilterMode,                                      Filtro de interfaz
guiFilterModeInfo,                                  Filtro para imágenes del HUD
videoFilterMode,                                    Filtro de vídeo
videoFilterModeInfo,                                Filtro para las películas
antiAliasingMethod,                                 Método de antialiasing
antiAliasingMethodInfo,                             Selecciona el método de suavizado
ambientOcclusionIntensity,                          Intensidad de oclusión ambiental
ambientOcclusionIntensityInfo,                      Ajusta la intensidad del efecto AO
fovSlider,                                          Campo de visión
fovSliderInfo,                                      Ángulo del mundo visible
terrainDistance,                                    Distancia del terreno
terrainDistanceInfo,                                Distancia máxima del terreno activo
shadowResolutionMode,                               Resolución de sombras
shadowResolutionModeInfo,                           Calidad de las sombras
dungeonLightShadows,                                Sombras en mazmorras
dungeonLightShadowsInfo,                            Luces de mazmorra proyectan sombras
interiorLightShadows,                               Sombras en interiores
interiorLightShadowsInfo,                           Luces de interiores proyectan sombras
exteriorLightShadows,                               Sombras en exteriores
exteriorLightShadowsInfo,                           La luz solar proyecta sombras
ambientLitInteriors,                                Simplificar luces de interior
ambientLitInteriorsInfo,                            Usa luces menos complejas para ganar rendimiento

- Configure Joystick Controls UI

rightClickString,                                   Click derecho
middleClickString,                                  Click central
leftClickString,                                    Click izquierdo
backString,                                         Atrás
configureJoystickControls,                          Configurar Joystick
continue,                                           CONTINUAR
enableController,                                   Activar mando
invert,                                             Invertir
lookSensitivity,                                    Sensibilidad de mirada
uiMouseSensitivity,                                 Sensibilidad ratón interfaz
maximumMovementThreshold,                           Umbral de movimiento máximo
deadzone,                                           Zona muerta
movementH,                                          Movimiento H.
movementV,                                          Movimiento V.
cameraH,                                            Cámara H.
cameraV,                                            Cámara V.
primary,                                            Primario
secondary,                                          Secundario

- Options shared among sliders. Missing keys use default text.

Off,                                                Apagado
On,                                                 Encendido
HQ,                                                 Alta calidad

Low,                                                Bajo
Medium,                                             Medio
High,                                               Alto
Very High,                                          Muy alto

Low (25%),                                          Bajo 25 por ciento
Medium (50%),                                       Medio 50 por ciento
High (75%),                                         Alto 75 por ciento
V. High(100%),                                      Muy alto 100 por ciento

Point,                                              Punto
Bilinear,                                           Bilineal
Trilinear,                                          Trilinear

none,                                               ninguno
classic,                                            clásico
climate,                                            clima
climateOnly,                                        solo clima
random,                                             aleatorio
randomOnly,                                         solo aleatorio
minimal,                                            mínimo
large,                                              grande
colour,                                             color
monochrome,                                         monocromo

reset,                                              Reiniciar
